批次编号,时间,产品等级,产线,班次,反应器温度,反应器压力,进料流量,催化剂活性,pH值,杂质浓度,能耗,产能,收率,粘度,水分,运营成本指数,运行工况
B01379,2025-10-08 18:00,Grade_C,Line_3,day,164.21,11.63,31.95,0.694,6.12,58.0,880.9,5.45,73.9,173.0,0.498,1.505,startup_transition
B01263,2025-07-04 14:00,Grade_B,Line_1,day,187.18,13.11,43.31,0.645,6.45,53.4,1082.1,8.64,87.1,295.1,0.316,1.22,catalyst_fade
B01161,2025-03-14 18:00,Grade_A,Line_2,day,232.86,17.48,60.38,0.823,6.63,23.6,1210.0,16.8,91.47,225.1,0.17,1.116,high_load
B01032,2025-11-25 10:00,Grade_A,Line_1,day,198.18,13.14,48.64,0.901,6.86,24.2,962.3,11.93,97.23,185.9,0.085,1.047,normal
B01130,2025-02-11 22:00,Grade_A,Line_2,night,219.15,17.6,62.41,0.775,6.83,21.8,1266.0,16.29,89.68,259.3,0.238,1.074,high_load
B01005,2025-10-26 14:00,Grade_A,Line_1,day,198.4,14.81,48.84,0.829,7.18,17.1,964.1,12.39,95.08,217.0,0.149,0.894,normal
B01181,2025-04-06 14:00,Grade_A,Line_2,day,221.14,17.56,65.04,0.827,6.8,28.6,1155.6,14.31,90.5,257.7,0.165,1.238,high_load
B01266,2025-07-07 10:00,Grade_B,Line_1,day,188.27,10.68,38.58,0.538,6.64,74.5,1068.6,9.44,79.83,272.1,0.412,1.232,catalyst_fade
B01316,2025-08-01 22:00,Grade_C,Line_3,night,161.49,10.08,30.67,0.669,6.95,107.4,915.3,5.76,68.43,189.4,0.501,1.414,startup_transition
B01150,2025-03-03 16:00,Grade_A,Line_2,day,230.41,18.98,62.52,0.756,6.71,21.6,1378.6,16.8,88.41,256.0,0.154,1.132,high_load
B01225,2025-05-22 10:00,Grade_B,Line_1,day,178.52,12.37,43.06,0.59,6.84,36.3,1190.1,9.84,83.64,285.0,0.258,1.446,catalyst_fade
B01042,2025-11-07 00:00,Grade_A,Line_1,night,198.99,15.07,43.68,0.899,7.25,9.9,1067.5,13.89,94.43,181.0,0.111,0.985,normal
B01345,2025-09-02 10:00,Grade_C,Line_3,day,153.0,8.36,22.37,0.568,6.62,115.2,979.5,6.5,66.02,188.7,0.475,1.617,startup_transition
B01194,2025-04-19 00:00,Grade_A,Line_2,night,213.55,18.53,63.16,0.799,6.55,39.9,1326.8,15.21,92.5,241.7,0.264,1.141,high_load
B01389,2025-11-18 06:00,Grade_C,Line_3,day,169.12,8.78,32.51,0.734,6.48,83.2,806.4,4.54,67.64,177.6,0.516,1.658,startup_transition
B01138,2025-02-19 16:00,Grade_A,Line_2,day,213.05,18.71,59.94,0.877,6.99,43.9,1335.1,14.87,89.73,242.8,0.195,1.138,high_load
B01006,2025-10-27 18:00,Grade_A,Line_1,day,201.86,15.1,44.29,0.824,6.99,12.6,958.0,13.83,97.51,192.6,0.146,0.929,normal
B01176,2025-04-01 10:00,Grade_A,Line_2,day,217.51,18.41,64.04,0.812,6.61,30.0,1223.4,16.2,91.8,258.1,0.252,1.115,high_load
B01151,2025-03-04 10:00,Grade_A,Line_2,day,229.15,19.91,63.4,0.805,7.1,29.6,1350.0,16.72,90.25,241.0,0.236,1.158,high_load
B01233,2025-06-02 08:00,Grade_B,Line_1,day,176.48,10.68,38.75,0.596,6.58,75.4,1068.6,8.78,84.14,278.6,0.226,1.433,catalyst_fade
B01080,2025-01-17 06:00,Grade_A,Line_1,day,190.55,15.94,51.88,0.89,7.28,9.9,1076.0,11.4,95.43,211.5,0.139,0.853,normal
B01366,2025-10-23 08:00,Grade_C,Line_3,day,153.6,9.09,32.78,0.682,6.86,51.3,956.1,6.6,68.93,172.8,0.544,1.34,startup_transition
B01118,2025-02-27 22:00,Grade_A,Line_1,night,191.29,13.11,51.61,0.823,6.91,16.8,1084.4,11.35,97.1,208.2,0.101,0.972,normal
B01134,2025-02-15 14:00,Grade_A,Line_2,day,228.04,18.33,57.22,0.832,6.87,41.0,1184.0,16.04,88.19,256.9,0.164,1.054,high_load
B01254,2025-06-23 08:00,Grade_B,Line_1,day,179.45,10.89,43.71,0.534,6.82,51.7,1167.1,8.39,79.18,244.3,0.347,1.324,catalyst_fade
B01087,2025-01-24 16:00,Grade_A,Line_1,day,196.48,15.23,50.45,0.947,7.29,18.4,1035.7,11.08,97.72,213.2,0.107,0.886,normal
B01344,2025-09-01 14:00,Grade_C,Line_3,day,174.06,8.94,26.51,0.553,6.79,90.9,871.2,4.97,81.47,184.9,0.473,1.575,startup_transition
B01246,2025-06-15 18:00,Grade_B,Line_1,day,189.09,11.1,43.24,0.551,6.64,40.6,1056.1,8.12,83.94,254.2,0.394,1.326,catalyst_fade
B01035,2025-11-28 00:00,Grade_A,Line_1,night,197.25,14.88,47.05,0.928,7.13,23.3,1053.9,12.42,95.04,189.9,0.144,1.003,normal
B01237,2025-06-06 00:00,Grade_B,Line_1,night,184.3,10.9,37.69,0.462,6.73,65.0,1067.1,8.03,83.41,317.7,0.338,1.316,catalyst_fade
B01113,2025-02-22 22:00,Grade_A,Line_1,night,204.78,14.17,44.53,0.918,6.91,14.1,1060.6,13.6,95.33,185.0,0.117,1.028,normal
B01133,2025-02-14 16:00,Grade_A,Line_2,day,221.87,16.07,59.31,0.764,6.75,27.7,1356.7,16.62,91.78,235.8,0.185,1.181,high_load
B01069,2025-12-06 06:00,Grade_A,Line_1,day,202.98,13.86,44.88,0.891,6.84,24.1,1097.8,11.9,97.85,207.6,0.126,0.91,normal
B01135,2025-02-16 18:00,Grade_A,Line_2,day,220.47,17.65,57.65,0.815,6.87,31.8,1345.1,16.18,92.23,231.1,0.223,1.25,high_load
B01097,2025-01-06 16:00,Grade_A,Line_1,day,186.53,15.46,50.55,0.9,7.1,15.9,1019.8,13.38,97.58,198.0,0.161,0.98,normal
B01340,2025-09-25 06:00,Grade_C,Line_3,day,145.33,11.88,20.33,0.744,6.28,58.8,878.9,4.03,66.53,150.9,0.354,1.468,startup_transition
B01064,2025-12-01 18:00,Grade_A,Line_1,day,199.89,14.82,50.11,0.87,7.2,22.0,1096.5,12.49,94.15,200.1,0.139,1.024,normal
B01128,2025-02-09 10:00,Grade_A,Line_2,day,230.34,19.74,64.37,0.775,6.6,44.9,1257.4,16.64,90.98,205.4,0.201,1.141,high_load
B01224,2025-05-21 14:00,Grade_B,Line_1,day,194.48,10.4,41.57,0.503,6.77,76.3,1061.2,9.99,80.19,307.7,0.379,1.256,catalyst_fade
B01145,2025-03-26 10:00,Grade_A,Line_2,day,221.94,19.74,55.09,0.8,6.77,26.7,1225.8,15.75,91.44,215.7,0.197,1.097,high_load
B01250,2025-06-19 18:00,Grade_B,Line_1,day,186.23,12.38,37.83,0.587,6.54,50.1,1105.3,7.98,80.77,292.5,0.41,1.345,catalyst_fade
B01195,2025-04-20 00:00,Grade_A,Line_2,night,218.18,16.01,65.06,0.845,6.94,31.5,1302.8,15.07,88.38,232.1,0.178,1.136,high_load
B01332,2025-09-17 14:00,Grade_C,Line_3,day,150.97,10.61,30.66,0.671,6.4,112.1,940.6,7.76,77.71,181.3,0.413,1.367,startup_transition
B01253,2025-06-22 16:00,Grade_B,Line_1,day,191.91,13.36,43.76,0.486,6.27,40.8,1101.7,9.43,85.63,254.6,0.356,1.251,catalyst_fade
B01071,2025-12-08 06:00,Grade_A,Line_1,day,203.21,14.98,50.33,0.937,7.27,11.9,1064.3,11.66,94.76,190.0,0.156,1.003,normal
B01223,2025-05-20 00:00,Grade_B,Line_1,night,181.88,12.26,38.22,0.504,6.22,61.9,1055.9,9.43,80.81,304.7,0.314,1.257,catalyst_fade
B01066,2025-12-03 18:00,Grade_A,Line_1,day,202.05,15.44,45.8,0.861,7.23,20.9,1077.0,11.11,94.27,205.2,0.172,1.049,normal
B01166,2025-03-19 16:00,Grade_A,Line_2,day,230.38,17.07,60.16,0.798,6.74,34.1,1377.8,14.68,92.1,250.9,0.235,1.222,high_load
B01156,2025-03-09 10:00,Grade_A,Line_2,day,225.65,17.71,61.44,0.876,7.06,36.8,1330.7,14.96,90.5,209.0,0.199,1.201,high_load
B01284,2025-07-25 18:00,Grade_B,Line_1,day,190.1,12.19,41.03,0.605,6.88,48.2,1085.5,9.05,79.87,253.9,0.323,1.263,catalyst_fade
B01184,2025-04-09 22:00,Grade_A,Line_2,night,219.89,18.95,66.48,0.808,6.76,20.1,1199.4,14.84,92.22,247.8,0.225,1.21,high_load
B01302,2025-08-15 10:00,Grade_B,Line_1,day,189.72,11.93,38.59,0.494,6.54,37.8,1123.9,7.13,80.07,312.6,0.292,1.291,catalyst_fade
B01377,2025-10-06 16:00,Grade_C,Line_3,day,155.38,11.54,31.61,0.607,6.17,70.6,965.4,6.76,80.36,177.8,0.462,1.336,startup_transition
B01185,2025-04-10 10:00,Grade_A,Line_2,day,219.14,16.79,56.48,0.837,6.79,44.1,1222.1,15.17,90.36,206.9,0.196,1.142,high_load
B01011,2025-10-04 06:00,Grade_A,Line_1,day,189.82,14.27,42.79,0.915,7.29,24.6,1015.9,11.38,96.64,217.9,0.097,0.956,normal
B01249,2025-06-18 16:00,Grade_B,Line_1,day,189.25,12.84,37.75,0.629,6.8,55.7,1093.6,7.91,83.21,289.9,0.337,1.152,catalyst_fade
B01107,2025-01-16 08:00,Grade_A,Line_1,day,192.5,12.11,51.31,0.929,7.19,21.5,944.8,11.86,97.32,207.8,0.094,0.991,normal
B01198,2025-04-23 18:00,Grade_A,Line_2,day,216.26,17.49,66.75,0.772,6.74,27.6,1310.9,14.7,91.93,242.2,0.15,1.145,high_load
B01208,2025-05-05 16:00,Grade_A,Line_2,day,214.17,16.51,65.15,0.785,7.03,39.3,1156.8,16.42,89.63,203.8,0.243,1.165,high_load
B01136,2025-02-17 00:00,Grade_A,Line_2,night,223.14,17.26,57.25,0.869,6.71,28.9,1327.6,16.16,91.86,241.6,0.229,1.088,high_load
B01083,2025-01-20 16:00,Grade_A,Line_1,day,197.49,14.34,49.12,0.87,7.16,13.0,1011.0,12.29,97.17,184.6,0.145,1.026,normal
B01010,2025-10-03 14:00,Grade_A,Line_1,day,188.06,15.05,47.39,0.921,7.12,8.0,978.3,11.06,97.72,215.1,0.163,0.912,normal
B01002,2025-10-23 14:00,Grade_A,Line_1,day,199.32,14.81,46.2,0.878,6.97,22.8,1056.6,11.48,95.69,191.1,0.102,1.003,normal
B01245,2025-06-14 10:00,Grade_B,Line_1,day,176.31,12.84,39.03,0.606,6.57,60.6,1084.7,9.63,80.01,244.6,0.227,1.165,catalyst_fade
B01384,2025-11-13 10:00,Grade_C,Line_3,day,173.82,11.0,25.4,0.557,6.77,72.6,961.6,7.28,77.89,200.6,0.316,1.488,startup_transition
B01086,2025-01-23 22:00,Grade_A,Line_1,night,202.36,14.88,51.68,0.898,7.01,17.8,958.3,12.97,94.9,184.3,0.165,0.924,normal
B01121,2025-02-02 18:00,Grade_A,Line_2,day,221.69,19.93,56.69,0.865,6.54,30.0,1314.9,15.44,90.46,224.6,0.225,1.075,high_load
B01214,2025-05-11 14:00,Grade_A,Line_2,day,223.25,16.95,61.4,0.758,7.1,37.8,1171.4,16.76,93.38,231.2,0.241,1.124,high_load
B01371,2025-10-28 10:00,Grade_C,Line_3,day,162.97,10.26,22.37,0.564,6.53,100.4,833.1,7.36,67.47,151.8,0.38,1.689,startup_transition
B01244,2025-06-13 00:00,Grade_B,Line_1,night,190.48,11.28,42.29,0.571,6.26,54.9,1232.7,8.22,82.84,281.3,0.295,1.167,catalyst_fade
B01351,2025-10-08 14:00,Grade_C,Line_3,day,162.95,11.71,32.48,0.644,6.64,75.3,933.8,7.56,78.97,197.7,0.315,1.547,startup_transition
B01289,2025-07-02 18:00,Grade_B,Line_1,day,185.29,12.03,39.87,0.509,6.66,49.4,1066.5,7.29,87.72,301.9,0.327,1.338,catalyst_fade
B01169,2025-03-22 06:00,Grade_A,Line_2,day,234.04,18.35,64.78,0.843,6.74,21.9,1187.4,14.72,93.01,223.3,0.267,1.116,high_load
B01380,2025-11-09 10:00,Grade_C,Line_3,day,153.25,9.52,31.52,0.732,6.57,96.2,827.0,7.48,68.04,192.7,0.405,1.424,startup_transition
B01390,2025-11-19 00:00,Grade_C,Line_3,night,167.44,9.66,31.14,0.717,6.3,100.7,856.8,6.14,68.54,191.1,0.5,1.655,startup_transition
B01220,2025-05-17 08:00,Grade_A,Line_2,day,214.94,18.58,65.52,0.762,7.01,40.2,1178.2,16.83,88.3,255.4,0.206,1.195,high_load
B01261,2025-07-02 06:00,Grade_B,Line_1,day,186.88,10.19,36.08,0.617,6.23,40.2,1138.9,7.37,80.53,296.1,0.261,1.356,catalyst_fade
B01372,2025-10-01 22:00,Grade_C,Line_3,night,150.62,10.98,32.33,0.677,6.74,60.6,833.8,4.53,65.45,209.2,0.454,1.542,startup_transition
B01070,2025-12-07 22:00,Grade_A,Line_1,night,202.07,12.43,45.81,0.867,6.98,19.9,923.9,13.49,95.58,180.3,0.167,1.006,normal
B01279,2025-07-20 14:00,Grade_B,Line_1,day,179.02,12.5,37.91,0.519,6.67,79.2,1180.0,9.87,83.04,295.5,0.284,1.185,catalyst_fade
B01110,2025-02-19 08:00,Grade_A,Line_1,day,195.47,13.44,51.53,0.891,7.27,16.6,923.7,13.62,94.17,195.5,0.117,0.999,normal
B01052,2025-12-17 16:00,Grade_A,Line_1,day,186.7,12.99,47.58,0.874,7.16,18.5,1059.6,12.14,97.63,191.9,0.139,0.936,normal
B01049,2025-11-14 14:00,Grade_A,Line_1,day,191.31,14.97,51.51,0.91,6.91,20.6,969.8,12.77,97.04,203.9,0.178,1.017,normal
B01271,2025-07-12 00:00,Grade_B,Line_1,night,192.39,10.3,39.92,0.498,6.88,37.3,1094.5,8.93,82.03,258.8,0.312,1.39,catalyst_fade
B01196,2025-04-21 14:00,Grade_A,Line_2,day,222.37,17.29,58.69,0.821,6.58,41.3,1331.3,16.68,92.57,202.8,0.231,1.217,high_load
B01304,2025-08-17 08:00,Grade_B,Line_1,day,185.33,11.51,44.07,0.553,6.45,74.0,1147.4,8.45,84.04,280.1,0.248,1.2,catalyst_fade
B01387,2025-11-16 14:00,Grade_C,Line_3,day,164.8,11.92,20.02,0.555,6.63,58.3,952.7,7.2,81.98,174.8,0.383,1.524,startup_transition
B01132,2025-02-13 00:00,Grade_A,Line_2,night,213.72,19.57,56.82,0.871,6.69,29.8,1291.8,16.53,91.56,230.4,0.216,1.148,high_load
B01222,2025-05-19 00:00,Grade_B,Line_1,night,176.22,11.12,36.37,0.49,6.82,58.7,1176.2,9.41,85.95,319.2,0.376,1.258,catalyst_fade
B01238,2025-06-07 22:00,Grade_B,Line_1,night,191.37,11.67,40.36,0.623,6.53,74.7,1145.3,7.24,87.03,297.1,0.32,1.42,catalyst_fade
B01031,2025-11-24 10:00,Grade_A,Line_1,day,197.31,13.2,47.48,0.82,6.97,15.3,1024.4,12.96,95.86,197.7,0.101,0.945,normal
B01004,2025-10-25 18:00,Grade_A,Line_1,day,196.55,14.82,42.46,0.85,6.97,9.4,961.9,11.3,95.11,205.4,0.116,0.924,normal
B01231,2025-06-28 18:00,Grade_B,Line_1,day,183.93,11.06,37.5,0.464,6.38,39.9,1050.3,8.16,85.33,317.5,0.397,1.298,catalyst_fade
B01252,2025-06-21 22:00,Grade_B,Line_1,night,183.09,12.95,40.83,0.649,6.77,50.4,1192.7,9.06,84.38,278.1,0.408,1.258,catalyst_fade
B01188,2025-04-13 18:00,Grade_A,Line_2,day,233.8,17.94,57.54,0.8,6.84,36.3,1244.1,15.48,92.26,226.6,0.172,1.163,high_load
B01280,2025-07-21 18:00,Grade_B,Line_1,day,186.25,12.33,44.43,0.592,6.67,75.2,1156.8,9.63,82.22,241.0,0.241,1.264,catalyst_fade
B01209,2025-05-06 08:00,Grade_A,Line_2,day,222.4,18.04,55.72,0.862,6.6,23.9,1327.9,16.68,92.04,206.9,0.246,1.051,high_load
B01272,2025-07-13 00:00,Grade_B,Line_1,night,176.76,11.99,38.16,0.646,6.72,35.8,1130.7,7.11,83.49,306.1,0.378,1.439,catalyst_fade
B01072,2025-12-09 10:00,Grade_A,Line_1,day,197.56,15.61,48.46,0.86,7.06,17.9,1051.8,11.27,95.18,209.9,0.098,0.876,normal
B01091,2025-01-28 14:00,Grade_A,Line_1,day,191.03,12.84,43.37,0.853,7.0,8.1,1054.5,11.53,95.52,208.1,0.13,1.017,normal
B01285,2025-07-26 22:00,Grade_B,Line_1,night,180.58,11.06,36.61,0.619,6.2,56.0,1237.5,7.12,87.29,287.8,0.375,1.338,catalyst_fade
B01014,2025-10-07 10:00,Grade_A,Line_1,day,199.47,15.53,47.76,0.852,7.08,14.9,937.0,12.98,95.42,196.4,0.166,0.861,normal
B01095,2025-01-04 14:00,Grade_A,Line_1,day,188.47,12.61,49.59,0.83,7.37,18.7,1003.5,12.69,96.32,207.2,0.168,0.979,normal
B01157,2025-03-10 00:00,Grade_A,Line_2,night,216.02,16.9,66.15,0.769,6.78,21.4,1244.9,15.25,91.18,223.3,0.183,1.116,high_load
B01076,2025-12-13 16:00,Grade_A,Line_1,day,197.98,12.47,42.45,0.825,7.4,10.0,962.3,12.61,95.55,194.8,0.175,0.989,normal
B01310,2025-08-23 10:00,Grade_B,Line_1,day,193.04,12.16,35.01,0.638,6.67,54.4,1134.1,9.62,84.98,274.3,0.408,1.295,catalyst_fade
B01315,2025-08-28 06:00,Grade_C,Line_3,day,145.63,11.86,20.08,0.568,6.15,114.8,878.4,4.26,68.77,154.8,0.309,1.454,startup_transition
B01218,2025-05-15 18:00,Grade_A,Line_2,day,219.91,16.2,58.88,0.857,6.6,43.8,1346.6,15.67,91.3,205.7,0.163,1.209,high_load
B01330,2025-09-15 08:00,Grade_C,Line_3,day,152.29,10.72,29.08,0.665,6.65,87.7,976.3,5.14,70.53,180.6,0.494,1.479,startup_transition
B01328,2025-09-13 10:00,Grade_C,Line_3,day,156.55,8.04,26.32,0.577,6.89,94.1,896.1,5.26,73.27,165.1,0.515,1.319,startup_transition
B01089,2025-01-26 10:00,Grade_A,Line_1,day,192.4,14.89,49.77,0.894,6.85,8.9,948.3,12.85,96.7,190.9,0.146,0.947,normal
B01187,2025-04-12 10:00,Grade_A,Line_2,day,224.37,17.69,61.33,0.82,7.05,43.3,1189.8,14.5,89.73,211.2,0.259,1.174,high_load
B01206,2025-05-03 14:00,Grade_A,Line_2,day,234.36,16.62,59.25,0.826,6.96,36.2,1297.9,14.93,90.62,257.2,0.181,1.099,high_load
B01327,2025-09-12 22:00,Grade_C,Line_3,night,149.79,8.72,21.97,0.665,6.23,57.0,848.6,4.94,72.35,172.9,0.336,1.684,startup_transition
B01082,2025-01-19 16:00,Grade_A,Line_1,day,194.16,15.86,42.61,0.882,7.04,19.7,1008.2,13.73,94.29,183.2,0.141,0.863,normal
B01298,2025-08-11 06:00,Grade_B,Line_1,day,181.26,13.14,42.12,0.578,6.39,51.2,1185.9,7.99,82.8,275.6,0.375,1.296,catalyst_fade
B01339,2025-09-24 16:00,Grade_C,Line_3,day,149.96,10.97,32.13,0.633,6.85,62.8,852.1,6.55,75.5,166.3,0.456,1.375,startup_transition
B01115,2025-02-24 16:00,Grade_A,Line_1,day,191.42,12.32,48.61,0.86,7.16,15.2,1044.2,12.05,94.17,214.8,0.115,1.05,normal
B01100,2025-01-09 10:00,Grade_A,Line_1,day,191.67,14.33,43.41,0.865,7.38,19.9,990.6,12.79,97.75,192.4,0.118,1.008,normal
B01075,2025-12-12 22:00,Grade_A,Line_1,night,201.45,15.76,43.08,0.85,6.82,23.0,1021.1,13.75,94.89,182.5,0.162,1.032,normal
B01205,2025-05-02 06:00,Grade_A,Line_2,day,233.72,17.59,58.72,0.843,6.96,30.6,1242.5,15.92,91.23,209.2,0.161,1.066,high_load
B01116,2025-02-25 16:00,Grade_A,Line_1,day,197.79,15.17,42.57,0.907,7.04,16.7,1055.0,11.48,94.12,213.9,0.148,0.938,normal
B01039,2025-11-04 22:00,Grade_A,Line_1,night,199.48,15.36,51.2,0.947,7.12,23.4,1026.5,12.99,94.34,197.1,0.167,0.886,normal
B01038,2025-11-03 16:00,Grade_A,Line_1,day,200.07,15.41,51.53,0.874,7.25,17.3,1028.6,11.66,94.88,197.4,0.083,0.917,normal
B01001,2025-10-22 08:00,Grade_A,Line_1,day,185.5,13.1,44.23,0.916,7.21,23.2,935.6,12.27,94.12,188.7,0.131,0.855,normal
B01149,2025-03-02 14:00,Grade_A,Line_2,day,227.92,17.96,66.69,0.808,6.53,23.3,1245.5,15.69,91.35,240.4,0.19,1.054,high_load
B01036,2025-11-01 00:00,Grade_A,Line_1,night,197.53,13.1,42.77,0.857,6.96,13.4,1017.2,11.42,94.93,207.8,0.151,0.863,normal
B01056,2025-12-21 16:00,Grade_A,Line_1,day,195.01,13.98,42.8,0.825,7.06,13.5,965.1,11.27,97.85,213.4,0.138,1.04,normal
B01323,2025-09-08 14:00,Grade_C,Line_3,day,169.22,11.35,25.34,0.706,6.12,55.5,972.0,5.97,65.11,201.4,0.539,1.639,startup_transition
B01386,2025-11-15 16:00,Grade_C,Line_3,day,154.95,11.39,23.89,0.665,6.62,114.9,910.6,5.99,77.4,179.9,0.502,1.653,startup_transition
B01127,2025-02-08 10:00,Grade_A,Line_2,day,229.02,18.06,56.38,0.781,6.57,31.2,1182.4,14.15,93.67,251.8,0.204,1.243,high_load
B01256,2025-06-25 00:00,Grade_B,Line_1,night,177.86,13.45,36.8,0.466,6.43,79.4,1112.7,7.17,82.52,256.8,0.375,1.323,catalyst_fade
B01346,2025-09-03 10:00,Grade_C,Line_3,day,157.07,9.27,28.38,0.679,6.35,112.4,932.0,4.09,71.42,193.5,0.363,1.316,startup_transition
B01173,2025-04-26 10:00,Grade_A,Line_2,day,220.77,18.23,61.66,0.763,6.55,33.9,1287.3,16.35,93.18,200.7,0.204,1.206,high_load
B01368,2025-10-25 06:00,Grade_C,Line_3,day,152.14,9.41,29.38,0.597,6.98,85.1,946.1,6.5,79.94,203.4,0.504,1.312,startup_transition
B01154,2025-03-07 08:00,Grade_A,Line_2,day,224.85,17.79,63.74,0.863,6.65,21.1,1251.0,15.62,92.53,246.6,0.168,1.249,high_load
B01018,2025-10-11 06:00,Grade_A,Line_1,day,199.96,12.23,47.84,0.885,7.31,10.7,1092.9,11.24,94.74,203.8,0.148,0.897,normal
B01216,2025-05-13 18:00,Grade_A,Line_2,day,217.95,17.09,55.97,0.776,6.97,34.6,1185.7,14.49,90.8,224.4,0.22,1.243,high_load
B01347,2025-09-04 00:00,Grade_C,Line_3,night,159.57,10.17,27.35,0.663,6.54,72.7,884.3,7.47,75.18,201.6,0.34,1.512,startup_transition
B01046,2025-11-11 00:00,Grade_A,Line_1,night,189.88,13.86,48.1,0.869,6.82,22.5,952.7,11.64,97.19,193.6,0.168,0.99,normal
B01114,2025-02-23 00:00,Grade_A,Line_1,night,202.89,13.55,51.74,0.885,7.1,23.7,1013.5,13.4,96.91,183.2,0.14,1.014,normal
B01025,2025-11-18 08:00,Grade_A,Line_1,day,192.07,14.24,50.75,0.947,7.25,23.7,962.6,11.49,97.2,187.1,0.121,0.886,normal
